iter	Passed	Remaining
847	30911	5540
848	30947	5504
849	30981	5467
850	31011	5429
851	31041	5392
852	31072	5354
853	31102	5317
854	31136	5280
855	31168	5243
856	31199	5206
857	31229	5168
858	31262	5131
859	31292	5094
860	31326	5057
861	31360	5020
862	31390	4983
863	31424	4946
864	31456	4909
865	31493	4873
866	31521	4835
867	31554	4798
868	31584	4761
869	31616	4724
870	31645	4686
871	31672	4649
872	31708	4612
873	31741	4575
874	31771	4538
875	31803	4501
876	31835	4464
877	31866	4427
878	31895	4390
879	31928	4353
880	31955	4316
881	31989	4279
882	32020	4242
883	32052	4205
884	32087	4169
885	32120	4132
886	32150	4095
887	32181	4058
888	32211	4021
889	32242	3984
890	32277	3948
891	32308	3911
892	32336	3874
893	32376	3838
894	32413	3802
895	32451	3766
896	32481	3729
897	32509	3692
898	32541	3655
899	32576	3619
900	32610	3583
901	32646	3546
902	32676	3510
903	32705	3473
904	32735	3436
905	32768	3399
906	32795	3362
907	32829	3326
908	32864	3290
909	32899	3253
910	32932	3217
911	32962	3180
912	32989	3143
913	33023	3107
914	33056	3070
915	33091	3034
916	33122	2997
917	33153	2961
918	33186	2925
919	33218	2888
920	33251	2852
921	33282	2815
922	33313	2779
923	33349	2743
924	33384	2706
925	33416	2670
926	33450	2634
927	33482	2597
928	33514	2561
929	33546	2524
930	33580	2488
931	33613	2452
932	33649	2416
933	33685	2380
934	33715	2343
935	33747	2307
936	33781	2271
937	33817	2235
938	33851	2199
939	33882	2162
940	33913	2126
941	33947	2090
942	33983	2054
943	34015	2017
944	34044	1981
945	34077	1945
946	34107	1908
947	34142	1872
948	34171	1836
949	34203	1800
950	34235	1763
951	34267	1727
952	34300	1691
953	34334	1655
954	34370	1619
955	34404	1583
956	34433	1547
957	34465	1511
958	34495	1474
959	34524	1438
960	34553	1402
961	34583	1366
962	34617	1330
963	34645	1293
964	34677	1257
965	34707	1221
966	34734	1185
967	34758	1149
968	34783	1112
969	34805	1076
970	34831	1040
971	34856	1004
972	34880	967
973	34907	931
974	34934	895
975	34957	859
976	34978	823
977	34999	787
978	35020	751
979	35042	715
980	35057	679
981	35071	642
982	35088	606
983	35104	570
984	35120	534
985	35135	498
986	35152	463
987	35168	427
988	35187	391
989	35200	355
990	35213	319
991	35225	284
992	35237	248
993	35247	212
994	35258	177
995	35269	141
996	35280	106
997	35290	70
998	35301	35
999	35312	0
09	0
